0,31877528
1,41795265
2,7834104
0,25766778
1,14477424
2,9834599
3,5149338
4,5650772
5,4877410
6,4155138
7,4464212
8,4128380
9,4187091
10,5136241
11,5306633
12,4685679
13,4707385
14,4875629
15,4165703
16,4119060
17,6305527
18,5308217
19,17226634
20,7825338
21,7681765
22,7789157
23,6602035
24,3612166
25,4050697
26,4786574
27,4858808
28,3560260
29,4814138
30,3922074
31,4414768
32,3847323
33,4248841
34,5441830
35,5199644
36,5205220
37,5213423
38,5485600
39,10035566
40,4969699
41,5362290
42,5048132
43,5017785
44,6958563
45,3868217
46,5080617
47,5392450
48,4884677
49,5917409
50,6054801
51,4701793
52,3816758
53,4016263
54,4465609
55,5031288
56,5784244
57,5693316
58,4567212
59,5210457
60,5761560
61,4407033
62,4626380
63,4677966
64,4111262
65,5478927
66,5178483
67,6074108
68,6216959
69,6152271
70,6281873
71,5825144
72,5928552
73,5412830
74,4800619
75,5570908
76,4817613
77,4266010
78,4192064
79,5066753
80,5417702
81,5866967
82,5826303
83,5487534
84,5616573
85,5419404
86,5661627
87,5930140
88,5552219
89,5524260
90,5685561
91,8097911
92,5114391
93,4887316
94,4814466
95,4302670
96,3423706
97,3839206
98,3658211
99,3504595
100,3532681
101,3469298
102,3725315
103,4292018
104,4671848
105,4277167
106,3737412
107,3919874
108,3480687
109,3829860
110,3485857
111,3482620
112,3551500
113,3436097
114,3369794
115,4378386
116,4275720
117,4239907
118,4452457
119,5384500
120,3795135
121,3564827
122,3729380
123,4176112
124,3473208
125,3321237
126,3580721
127,3484312
128,3455090
129,3451873
130,3452188
131,3639896
132,3634802
133,3444608
134,5218448
135,3516099
136,3429063
137,3334121
138,3373491
139,3412658
140,3499641
141,3406057
142,3391968
143,3317924
144,3506587
145,3862056
146,3389968
147,3379380
148,3246064
149,3408527
150,3217587
151,3171840
152,3121769
153,3073763
154,3302950
155,4286123
156,3473218
157,3364728
158,3339509
159,3316538
160,3370993
161,3424743
162,3451823
163,3341836
164,3406860
165,3329988
166,3088101
167,3098991
168,3175018
169,3056229
170,3213298
171,3120491
172,3091136
173,3125805
174,3163225
175,3526032
176,5185334
177,3372188
178,3331825
179,3436175
180,3626458
181,3503799
182,3446869
183,3387134
184,3346995
185,3427111
186,3331673
187,3562115
188,3393083
189,3626949
190,3544793
191,3326362
192,3382723
193,3356045
194,3411001
195,3297847
196,3435831
197,3413555
198,3480178
199,3438950
200,3420417
201,3389083
202,3333601
203,3361398
204,3494803
205,3177644
206,3212142
207,3133306
208,3485461
209,3449301
210,3252760
211,3102668
212,3211969
213,3260086
214,3320533
215,3265519
216,3194964
217,3088019
218,3323453
219,5246554
220,3369908
221,3327225
222,3247018
223,3153178
224,3105676
225,3248559
226,3097550
227,3184262
228,3302705
229,3178587
230,3091020
231,3077411
232,3408522
233,3471088
234,3492540
235,3335766
236,3398747
237,3421212
238,3530970
239,3327458
240,3400615
241,3458867
242,3464275
243,3520982
244,3435728
245,3325047
246,3455528
247,3617699
248,3537220
249,3248047
250,3295284
251,3399264
252,3244072
253,3380461
254,3356266
255,3336033
256,3501580
257,3422562
258,3411925
259,3313842
260,3313020
261,5410659
262,3301541
263,3249817
264,3249946
265,3427744
266,3424029
267,3176485
268,3093385
269,3265287
270,3703241
271,4235739
272,3313881
273,3213769
274,3117042
275,3393250
276,3388771
277,3283487
278,3219129
279,3133743
280,3119054
281,3110830
282,3118614
283,3200744
284,3078030
285,3207553
286,3148202
287,3202199
288,3089484
289,3079302
290,3282391
291,3522186
292,3426464
293,3287375
294,3300400
295,3394595
296,3580254
297,3566563
298,3479044
299,3474148
300,3438760
301,3479508
302,3441997
303,3312597
304,5381066
305,3600759
306,3287122
307,3351823
308,3403302
309,3444455
310,3473101
311,3282417
312,3384749
313,3625517
314,3770361
315,3343401
316,3283339
317,3449005
