n,time
10,7500
10,29600
10,33500
10,1200
10,900
10,800
10,1400
10,4800
10,1100
10,800
10,1300
10,800
10,800
10,700
10,700
10,700
10,1200
10,700
10,700
10,2900
10,800
10,800
10,700
10,1200
10,800
10,3100
10,700
10,700
10,700
10,700
10,31500
10,1100
10,1300
10,1200
10,26600
10,600
10,600
10,500
10,600
10,500
10,500
10,500
10,500
10,600
10,600
10,600
10,500
10,700
10,600
10,700
10,700
10,600
10,500
10,500
10,600
10,500
10,500
10,500
10,600
10,700
10,600
10,40100
10,700
10,1000
10,800
10,600
10,800
10,700
10,700
10,600
10,600
10,800
10,700
10,800
10,600
10,800
10,700
10,600
10,900
10,600
10,500
10,800
10,600
10,700
10,700
10,700
10,1300
10,900
10,800
10,700
10,600
10,500
10,500
10,600
10,600
10,500
10,600
10,600
10,500
10,600
10,500
10,500
10,500
10,500
10,400
10,400
10,500
10,500
10,600
10,500
10,500
10,400
10,500
10,500
10,500
10,500
10,500
10,400
10,400
10,500
10,500
10,400
10,1200
10,600
10,600
10,700
10,1000
10,800
10,600
10,700
10,700
10,700
10,600
10,700
10,600
10,500
10,600
10,600
10,600
10,600
10,600
10,700
10,700
10,600
10,600
10,500
10,500
10,500
10,400
10,400
10,500
10,700
10,600
10,700
10,500
10,500
10,1000
10,500
10,600
10,700
10,700
10,500
10,500
10,600
10,600
10,600
10,500
10,500
10,600
10,700
10,600
10,700
10,700
10,600
10,500
10,600
10,500
10,500
10,500
10,500
10,500
10,600
10,600
10,700
10,700
10,700
10,700
10,600
10,700
10,700
10,700
10,700
10,900
10,1000
10,800
10,600
10,700
10,600
10,600
10,600
10,800
10,500
10,600
10,700
10,700
10,700
10,700
10,600
10,700
10,700
10,700
10,500
10,500
10,700
10,700
10,800
10,500
10,700
10,600
10,500
10,500
10,500
10,500
10,500
10,500
10,500
10,600
10,500
10,500
10,500
10,500
10,500
10,400
10,700
10,600
10,600
10,600
10,500
10,400
10,400
10,500
10,500
10,500
10,500
10,700
10,600
10,500
10,600
10,600
10,600
10,600
10,600
10,600
10,800
10,600
10,1000
10,900
10,17400
10,700
10,500
10,500
10,500
10,500
10,400
10,500
10,500
10,400
10,500
10,400
10,500
10,500
10,500
10,500
10,500
10,500
10,400
10,500
10,500
10,500
10,500
10,500
10,500
10,500
10,400
10,500
10,500
10,500
10,500
10,500
10,400
10,500
10,500
10,700
10,600
10,500
10,500
