n,time
10,7600
10,7500
10,7600
10,7600
10,7600
10,8100
10,7600
10,7700
10,7600
10,7700
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7500
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,7700
10,7700
10,7600
10,7600
10,7600
10,7600
10,7600
10,7600
10,10400
10,11500
10,11700
10,13000
10,12700
10,12900
10,10900
10,11100
10,11900
10,13000
10,12200
10,11800
10,11300
10,12600
10,12600
10,11700
10,12800
10,7600
10,7500
10,11700
10,11800
10,10400
10,7500
10,7500
10,7500
10,7600
10,7400
10,7500
10,7500
10,7500
10,7500
10,7500
10,7600
10,7500
10,7500
10,7500
10,7400
10,7500
10,7400
10,7600
10,7500
10,7500
10,7500
10,7400
10,7500
10,11800
10,10000
10,10300
15,136600
15,142800
15,141200
15,140600
15,141400
15,140600
15,140700
15,140500
15,140900
15,140800
15,128500
15,84400
15,84500
15,84600
15,84300
15,84600
15,84500
15,84800
15,84600
15,84400
15,85500
15,84700
15,84600
15,84400
15,84500
15,85800
15,84400
15,84500
15,84500
15,84700
15,84300
15,84600
15,84400
15,91500
15,84500
15,84500
15,84600
15,84500
15,84400
15,84500
15,84200
15,84200
15,84600
15,84200
15,84200
15,84200
15,84800
15,84200
15,84200
15,84400
15,84200
15,84500
15,84100
15,84500
15,84400
15,84400
15,89700
15,84200
15,84300
15,84200
15,84600
15,84300
15,84300
15,84200
15,84200
15,84500
15,84400
15,84200
15,84300
15,84200
15,84000
15,84400
15,84400
15,84200
15,84400
15,84600
15,84600
15,84200
15,84400
15,84200
15,84300
15,84200
15,84300
15,84100
15,84600
15,84200
15,84500
15,84300
15,84700
15,84700
15,84300
15,84100
15,84300
15,84500
15,84300
15,84300
15,84500
15,84200
15,84400
15,84300
15,84200
15,84500
15,84400
15,90200
15,84200
15,84400
15,84400
15,84300
15,84400
15,84200
15,84100
15,84200
15,84200
15,84300
15,84100
15,84100
15,84200
15,84300
15,84300
15,84300
15,84500
15,84600
15,84300
15,84200
15,84100
15,84300
15,219200
15,120700
15,111700
15,138600
15,137800
15,141900
15,84400
15,84600
15,90000
15,168500
15,182900
15,195000
15,140100
15,135100
15,117900
15,126900
15,116800
15,98600
15,84700
15,99500
15,85000
15,93200
15,84400
15,84600
15,84400
15,84500
15,84900
15,84500
15,96300
15,88600
15,84300
15,84500
15,84300
15,84600
15,84600
15,84400
15,84300
15,85400
15,84200
15,84200
15,84200
15,84300
15,84300
15,84300
15,90600
15,84400
15,84300
15,84200
15,84200
15,84600
15,84400
15,84300
15,84300
15,84400
15,84300
15,84200
15,84200
15,84500
15,84400
15,84200
15,84400
15,84400
15,84400
15,84400
15,84500
15,84200
15,84500
15,84100
15,88500
15,84400
15,84300
15,84300
15,84100
15,84300
15,84200
15,84300
15,84200
15,84100
15,84100
15,84100
15,84100
15,84200
15,84200
15,84200
15,84200
15,84200
15,84200
15,84200
15,84200
15,84100
15,84200
15,88000
15,84200
15,84200
15,84200
15,84100
15,84100
15,84200
15,84200
15,84200
15,84200
15,84100
15,84200
15,84100
15,84000
15,84200
15,84200
15,84200
15,84600
15,84200
15,84400
15,84200
15,84200
15,84200
15,88400
15,84300
15,84100
15,84300
15,84400
15,84400
15,84100
15,84300
15,84200
15,84400
15,84300
15,84300
15,84200
15,84100
15,84400
15,84200
15,84300
15,84300
15,84200
15,84700
15,84600
15,84400
15,84400
15,84500
15,88400
15,84300
15,84500
15,84300
15,84500
15,84400
15,84200
15,84200
15,84300
15,84300
15,84400
15,84400
15,84300
15,84400
15,84300
15,84200
15,84100
15,84200
15,84500
15,84300
15,84500
15,84300
15,84400
15,87800
15,84200
15,84200
15,84200
15,84100
15,84200
15,84200
15,84200
15,84000
15,84300
15,84300
15,84200
15,84000
15,84200
15,84200
15,84400
15,84100
15,84300
15,84200
15,84200
15,84300
15,84300
15,84500
15,84400
15,88100
15,84300
15,84400
15,84400
15,84200
15,84300
15,84300
15,84200
15,84300
15,84200
15,84300
15,99600
15,110400
15,122600
15,139200
15,123900
15,114100
15,117100
15,102600
15,132700
15,85200
15,84600
15,84500
15,95900
15,103400
15,92800
15,109000
15,112500
15,84700
15,84700
15,85000
15,85300
15,84600
15,84400
15,84800
15,84200
15,84200
15,84600
15,84700
15,84700
15,85300
15,94000
15,84600
15,84900
15,84500
15,84600
15,84700
15,84400
15,84600
15,84500
15,84500
15,84400
15,84700
15,84500
15,84600
15,84500
15,84700
15,84400
15,84600
15,84300
15,84700
15,84600
15,84700
15,84500
15,84600
15,84200
15,84400
15,84500
15,84200
15,84100
15,84200
15,84200
15,84200
15,84100
15,84300
15,84400
15,84400
15,84100
15,84500
15,84200
15,84100
15,84100
15,84400
15,84300
15,84300
15,84300
15,84300
15,84100
15,89600
15,84300
15,84400
15,84500
15,84100
15,84300
15,84400
15,84000
15,84200
15,84100
15,84300
15,84100
15,84300
15,84500
15,84300
15,84200
15,84200
15,84500
15,84100
15,84300
15,84300
15,84400
15,84600
15,90200
15,84600
15,84500
15,84300
15,84300
15,84500
15,84200
15,84500
15,84300
15,84500
15,84200
15,84300
15,84100
15,84400
15,84200
15,84200
15,84400
15,84300
15,84300
15,84200
15,84300
15,90300
15,84400
15,84300
15,84400
15,84500
15,84300
15,84500
15,84300
15,84200
15,84300
15,84400
15,84200
15,84200
15,84300
15,84400
15,84700
15,84300
15,84300
15,84400
15,84600
15,84600
15,84500
15,84400
15,89900
15,84300
15,84200
15,84000
15,84200
15,84600
15,84200
15,84200
15,84200
15,84400
15,84600
15,84300
15,84200
15,84300
15,84400
15,84200
15,84300
15,84300
15,84300
15,84300
15,91800
15,84600
15,84800
15,84700
15,84200
15,84400
15,84600
15,84300
15,84500
15,84600
15,84200
15,84300
15,84600
15,84300
15,84300
15,84400
15,84400
15,84200
15,84200
15,84500
15,84300
15,84600
15,84400
15,84200
15,91800
15,117400
15,120700
15,134200
15,124100
15,121300
15,111000
15,113200
15,85500
15,85000
15,84800
15,98500
15,87200
15,95500
15,84300
15,84600
15,84200
15,84500
15,84500
15,94400
15,84400
15,84100
15,84300
15,84200
15,84100
15,84300
15,84300
15,84300
15,84200
15,84300
15,84000
15,84300
15,84300
15,131000
15,126700
15,129400
15,139800
15,116300
15,84600
15,84700
15,110500
15,84700
15,94300
15,90100
15,84200
15,84200
15,84100
15,84300
15,93600
15,84400
15,84100
15,84200
15,84200
15,84100
15,84100
15,84100
15,84100
15,84200
15,84200
15,84200
15,84200
15,84200
15,90400
15,84200
15,84300
15,84300
15,84400
15,84200
15,84400
15,84500
15,84400
15,84600
15,84500
15,84200
15,84300
15,84300
15,84200
15,84300
15,84400
15,84300
15,84200
15,84300
15,84300
15,84200
15,84400
15,84200
15,89600
15,84300
15,84600
15,84300
15,84100
15,84400
15,84200
15,84300
15,84700
15,84300
15,84300
15,84200
15,84100
15,84700
15,84600
15,84700
15,84200
15,84200
15,84700
15,84500
15,90400
15,84400
15,84400
15,84300
15,94700
15,84500
15,84200
15,84100
15,84600
15,84200
15,84400
15,84400
15,84500
15,84200
15,84400
15,84300
15,84200
15,84400
15,84100
15,84400
15,84300
15,84400
15,84300
15,89300
15,84400
15,84300
15,84200
15,84300
15,84300
15,84400
15,84500
15,84900
15,84300
15,84400
15,84300
15,84300
15,84400
15,84700
15,84300
15,84400
15,84200
15,84400
15,84300
15,84200
15,84200
15,84300
15,84300
15,89300
15,84200
15,84400
15,84200
15,84700
15,84400
15,84500
15,84400
15,84300
15,84300
15,84200
15,84500
15,84400
15,84400
15,84500
15,84400
15,84100
15,84300
15,84200
15,84200
15,84600
15,84200
15,84300
15,89300
15,84600
15,84400
15,84400
15,84300
15,84300
15,84500
15,84300
15,84300
15,84500
15,84800
15,92200
15,115900
15,127100
15,133300
15,138300
15,139000
15,102900
15,85300
15,84700
15,93700
15,85000
15,114800
15,124600
15,127000
15,146300
15,146200
15,106000
15,84400
15,84300
15,84500
15,84400
15,84100
15,84300
15,84200
15,84300
15,84300
15,84300
15,84300
15,84100
15,91600
15,84400
15,84400
15,84700
15,84500
15,84400
15,84400
15,84400
15,84100
15,84200
15,84300
15,84200
15,84300
15,84400
15,84300
15,84700
15,84200
15,84500
15,84400
15,84500
15,84300
15,84400
15,84500
15,84400
15,88600
15,84300
15,84200
15,84100
15,84100
15,84200
15,84200
15,84000
15,84200
15,84200
15,84100
15,84400
15,84500
15,84500
15,84300
15,84300
15,84100
15,84300
15,84000
15,84400
15,84300
15,84500
15,84300
15,88700
15,84200
15,84200
15,84600
15,84600
15,84600
15,84700
15,84400
15,84800
15,84700
15,84400
15,84800
15,84800
15,84600
15,84600
15,84600
15,84500
15,84600
15,84600
15,84400
15,84300
15,84900
15,84400
15,89600
15,84500
15,84500
15,84800
15,84700
15,84500
15,84500
15,84300
15,84600
15,84400
15,84600
15,84500
15,84600
15,84600
15,84400
15,84400
15,124300
15,85000
15,84400
15,84300
15,84500
15,91400
15,84600
15,84100
15,84100
15,84200
15,84100
15,84100
15,84200
15,84000
15,84100
15,84300
15,84900
15,84100
15,84300
15,84300
15,84200
15,84300
15,84300
15,84400
15,84500
15,106900
15,84300
15,84400
15,91900
15,84300
15,84400
15,84400
15,84200
15,84300
15,84400
15,84500
15,84400
15,84300
15,84200
15,84400
15,84500
15,84500
15,84600
15,84200
15,84200
15,84300
15,84600
15,84200
15,84300
15,84200
15,84200
15,89000
15,84700
15,84200
15,84200
15,84300
15,84300
15,84000
15,84300
15,84100
15,84500
15,84400
15,84300
15,84300
15,84200
15,84200
15,84100
15,192300
15,196800
15,180100
15,193900
15,158100
15,218800
15,149700
15,127400
15,122500
15,84600
15,95100
15,84100
15,84300
15,84300
15,84900
15,87700
15,89000
15,84300
15,84400
15,84600
15,84500
15,84200
15,84400
15,84200
15,84100
15,84300
15,84500
15,93800
15,84100
15,84500
15,84100
15,84200
15,84400
15,89600
15,84300
15,85200
15,84800
15,84600
15,84800
15,93100
15,84800
15,85000
15,84600
15,84600
15,84800
15,84700
15,84900
15,84800
15,84700
15,85000
15,93300
15,84700
15,84800
15,84500
15,84500
15,84600
15,89000
15,84600
15,84600
15,84500
15,84400
15,84400
15,93100
15,84500
15,84500
15,84500
15,84500
15,84500
15,84600
15,84600
15,84600
15,84500
15,84500
15,93300
15,84800
15,84500
15,84600
15,84700
15,84700
15,89000
15,84600
15,84700
15,84800
15,84800
15,84800
15,93800
15,84900
15,84900
15,84800
15,84800
15,84600
15,84800
15,84800
15,84800
15,84600
15,84900
15,147000
15,84700
15,84500
15,84400
15,84600
15,84500
15,89500
15,84500
15,84500
15,84700
15,84600
15,93600
15,84700
15,84500
15,84500
15,84700
15,84500
15,84600
15,84600
15,84600
15,84600
15,84600
15,87000
15,90400
15,84800
20,928000
20,929700
20,934900
20,930500
20,933000
20,930800
20,936700
20,929900
20,936300
20,930800
20,930800
20,966900
20,932200
20,1521400
20,1377400
20,1099800
20,933500
20,934700
20,931500
20,933900
20,931600
20,935800
20,929800
20,934300
20,929000
20,928600
20,934500
20,937700
20,937800
20,933700
20,936200
20,931600
20,936700
20,930500
20,934700
20,930700
20,935700
20,929000
20,933200
20,929500
20,930200
20,934000
20,934400
20,936200
20,934100
20,939600
20,934500
20,939800
20,933500
20,939100
20,932600
20,937600
20,932300
20,938800
20,931700
20,933300
20,934600
20,932600
20,942700
20,934200
20,938400
20,934600
20,936600
20,933000
20,937400
20,933300
20,937000
20,935100
20,937000
20,931500
20,935400
20,932200
20,936700
20,935400
20,960600
20,933900
20,933400
20,936300
20,931900
20,936200
20,935800
20,938500
20,931600
20,936500
20,964600
20,939700
20,932500
20,933900
20,929900
20,933900
20,928500
20,930500
20,932800
20,929600
20,935800
20,931000
20,934200
20,929700
20,933000
20,930100
20,933400
20,957700
20,938300
20,931800
20,936200
20,932300
20,930400
20,936300
20,935600
20,936900
20,933100
20,938000
20,933100
20,939600
20,936400
20,940500
20,934200
20,938400
20,932700
20,976900
20,929500
20,945100
20,929900
20,929400
20,999300
20,930000
20,932700
20,929000
20,933700
20,968900
20,933700
20,930800
20,932800
20,931700
20,932400
20,953100
20,949300
20,1159800
20,1361400
20,937200
20,928000
20,934800
20,934200
20,927600
20,933800
20,929800
20,932500
20,926800
20,933900
20,931100
20,933600
20,929300
20,933600
20,931800
20,1542700
20,948900
20,930200
20,934600
20,931300
20,935400
20,930200
20,935600
20,928800
20,936100
20,931400
20,933500
20,931800
20,928700
20,931700
20,929300
20,934300
20,1135600
20,1077300
20,941700
20,934400
20,930300
20,933700
20,930100
20,932100
20,933500
20,932600
20,935400
20,930600
20,934700
20,938900
20,936700
20,930900
20,935400
20,932300
20,2100100
20,1065600
20,931700
20,936400
20,935300
20,938700
20,940300
20,1044600
20,930100
20,936000
20,929900
20,935000
20,930300
20,933700
20,928900
20,1246900
20,1393100
20,931200
20,939000
20,932500
20,936100
20,932100
20,935000
20,930800
20,937100
20,930400
20,935700
20,929000
20,933700
20,929000
20,933800
20,1071700
20,2166900
20,1856000
20,931600
20,931200
20,929700
20,930100
20,934700
20,935800
20,931700
20,928200
20,935400
20,929500
20,987800
20,1408600
20,1505300
20,1443500
20,1065400
20,929700
20,935100
20,929800
20,928000
20,933300
20,929500
20,937200
20,927100
20,936600
20,932600
20,934600
20,928000
20,1151300
20,1086000
20,939100
20,1276100
20,1147200
20,931100
20,932900
20,931600
20,931800
20,963200
20,930300
20,933800
20,927800
20,935500
20,929900
20,932500
20,1462100
20,1164500
20,929700
20,979000
20,2020200
20,1124000
20,932900
20,936700
20,929000
20,931700
20,930600
20,930800
20,935600
20,930400
20,972100
20,929300
20,933800
20,930500
20,934400
20,1053600
20,1766900
20,940900
20,930400
20,933800
20,928800
20,932000
20,930300
20,934800
20,930700
20,934500
20,932100
20,935700
20,931300
20,935100
20,929900
20,930700
20,1927700
20,1189400
20,929900
20,934200
20,932100
20,935100
20,929100
20,933500
20,930400
20,934700
20,929600
20,933800
20,929200
20,933800
20,931000
20,932800
20,1200100
20,1233600
20,939000
20,932600
20,938200
20,933800
20,934800
20,930000
20,935100
20,933400
20,937700
20,927700
20,930000
20,932700
20,929500
20,2591500
20,1149100
20,1366200
20,939000
20,929400
20,933800
20,929700
20,932900
20,928500
20,975800
20,932600
20,937700
20,929300
20,935700
20,929200
20,1315100
20,1625200
20,1076400
20,1216100
20,929400
20,936000
20,928900
20,933100
20,955400
20,938300
20,930900
20,933600
20,928300
20,933200
20,930400
20,1553600
20,1194100
20,1462200
20,2056500
20,1549400
20,1807800
20,1595900
20,929500
20,934500
20,983100
20,1055000
20,1492900
20,946200
20,941200
20,936300
20,931000
20,929500
20,2469100
20,1561900
20,1000700
20,946000
20,1219400
20,1121100
20,984600
20,937300
20,1082600
20,938800
20,1245800
20,1798900
20,931100
20,2415300
20,1250600
20,999900
20,1137300
20,1136200
20,940700
20,935500
20,933900
20,1520000
20,1313700
20,1011300
20,937900
20,931000
20,934300
20,1081900
20,2320000
20,1022000
20,930500
20,936100
20,929600
20,933300
20,930500
20,1793600
20,1412300
20,931500
20,935500
20,929800
20,933700
20,1162200
20,1850300
20,1388000
20,928300
20,1545300
20,1219200
20,1442400
20,1588400
20,1340000
20,939600
20,1035100
20,1793300
20,930600
20,1419900
20,1482700
20,1463200
20,1242700
20,930300
20,939500
20,932600
20,935100
20,928300
20,934400
20,989600
20,996900
20,934200
20,938900
20,931100
20,957100
20,1855900
20,1297500
20,943300
20,1051000
20,1296700
20,982400
20,950200
20,973300
20,1074300
20,939200
20,932400
20,936800
20,933800
20,953100
20,956300
20,1186500
20,1603000
20,1545700
20,1190700
20,1342500
20,1078000
20,931400
20,934600
20,929300
20,934900
20,929700
20,960300
20,1029100
20,937500
20,933600
20,935400
20,1619300
20,1769400
20,1490700
20,929200
20,940700
20,931900
20,934800
20,951400
20,1111400
20,935400
20,931900
20,934000
20,929200
20,935600
20,927700
20,1429000
20,1684300
20,938700
20,967200
20,1444400
20,1241000
20,1640200
20,1212900
20,929600
20,935300
20,933200
20,976900
20,928800
20,933600
20,1132600
20,2389100
20,941400
20,1094300
20,1114600
20,965000
20,934600
20,930300
20,929800
20,934800
20,928600
20,931500
20,928600
20,934900
20,930900
20,935600
20,2250900
20,1234500
20,1732000
20,1329000
20,973600
20,929000
20,934200
20,931900
20,936600
20,929300
20,936000
20,929800
20,932900
20,933900
20,929200
20,1846300
20,936200
20,937800
20,933200
20,937000
20,931300
20,929500
20,936600
20,929300
20,935500
20,932600
20,936200
20,929500
20,935200
20,932800
20,936300
20,1760100
20,1349600
20,932100
20,1258400
20,989000
20,936100
20,929800
20,933600
20,928300
20,933900
20,930400
20,934700
20,929000
20,934400
20,929400
20,931600
20,1854600
20,1174200
20,1065500
20,943600
20,938800
20,933500
20,937000
20,940200
20,933500
20,929000
20,929200
20,933900
20,929900
20,933800
20,1060700
20,937900
20,963900
20,1218500
20,974100
20,1074500
20,970100
20,965200
20,976100
20,940900
20,929100
20,936200
20,929400
20,934400
20,930400
20,997100
20,1204100
20,993300
20,929000
20,936000
20,1615000
20,1562400
20,1034000
20,931600
20,937500
20,930400
20,935400
20,931300
20,937700
20,944600
20,963100
20,934600
20,974700
20,931600
20,936400
20,932200
20,1704000
20,1386600
20,962900
20,1016700
20,933800
20,935800
20,979900
20,935000
20,928500
20,933200
20,929600
20,932900
20,929000
20,944900
20,939600
20,930100
20,1364100
20,989100
20,1215700
20,1087300
20,958300
20,930300
20,935000
20,928600
20,935100
20,929700
20,927900
20,964100
20,931300
20,938900
20,928100
20,933100
20,929900
20,2025200
20,1582900
20,1021200
20,931200
20,929700
20,934400
20,932600
20,933600
20,946500
20,936700
20,930200
20,938200
20,933900
20,935200
20,931900
20,938100
20,1208200
20,962700
20,1091600
20,945100
20,940400
20,987900
20,940100
20,931200
20,992400
20,931300
20,934300
20,930700
20,971900
20,967400
20,945500
20,932400
20,936200
20,1798300
20,1598800
20,1150700
20,942200
20,933700
20,935700
20,929400
20,934800
20,932000
20,948000
20,942400
20,937400
20,931500
20,938400
20,933100
20,1007700
20,1829100
20,1215400
20,975900
20,932600
20,931400
20,935900
20,933300
20,955500
20,931900
20,937000
20,930700
20,938900
20,931400
20,936000
20,932400
20,947500
20,1308700
20,1008800
20,1103400
20,1017200
20,986300
20,1012400
20,944400
20,950400
20,933300
20,937900
20,932400
20,938300
20,928500
20,935700
20,928800
20,939800
20,1173400
20,1506900
20,1789300
20,1685400
20,1475500
20,931900
20,936900
20,933100
20,1053300
20,931100
20,937100
20,940900
20,1009900
20,1001500
20,1380900
20,1240900
20,1609100
20,1422700
20,1238800
20,1354000
20,948800
20,935700
20,931400
20,934900
20,1045000
20,1037300
20,929400
